prompt,quality_score,quality_label,clarity,specificity,context,goal_definition,constraints,output_format,role_persona,audience,ambiguity,completeness,actionability,consistency
Write something.,5,POOR,5,5,0,5,0,0,0,0,95,5,5,10
Help me.,5,POOR,5,0,0,5,0,0,0,0,95,5,5,10
Do the thing.,5,POOR,5,0,0,5,0,0,0,0,95,0,5,10
Make it good.,6,POOR,10,5,0,5,0,0,0,0,90,5,5,15
Fix this.,8,POOR,10,5,0,10,0,0,0,0,90,5,10,15
Explain that.,8,POOR,10,5,0,10,0,0,0,0,90,5,10,15
Tell me stuff.,7,POOR,10,5,0,5,0,0,0,0,90,5,5,15
Answer this please.,10,POOR,15,5,0,10,0,0,0,0,85,5,10,20
Code.,5,POOR,5,5,0,5,0,0,0,0,95,5,5,10
Generate.,5,POOR,5,0,0,5,0,0,0,0,95,5,5,10
Ideas.,5,POOR,5,5,0,5,0,0,0,0,95,5,5,10
Analyze.,5,POOR,5,5,0,5,0,0,0,0,95,5,5,10
Translate.,6,POOR,10,5,0,5,0,0,0,0,90,5,5,15
Summarize.,6,POOR,10,5,0,5,0,0,0,0,90,5,5,15
Rewrite.,6,POOR,10,5,0,5,0,0,0,0,90,5,5,15
Improve this text.,12,POOR,20,10,0,15,0,0,0,0,80,10,15,20
Give me ideas for my project.,15,POOR,25,10,0,20,0,0,0,0,75,10,20,25
Write an article.,14,POOR,25,10,0,15,0,0,0,0,80,10,15,20
Make a Python script.,18,POOR,30,15,0,20,0,0,0,0,75,15,25,25
Teach me math.,15,POOR,25,10,0,20,0,0,0,0,78,10,20,20
Write code for an app.,18,POOR,25,15,0,20,0,0,0,0,75,15,20,25
Tell me about history.,15,POOR,25,10,0,15,0,0,0,0,80,10,20,20
Create a cool picture prompt.,20,POOR,30,15,0,25,0,0,0,0,70,15,25,30
Write a sales pitch.,20,POOR,30,15,0,25,0,0,0,0,70,15,25,30
Do some financial modeling.,22,POOR,30,20,0,25,0,0,0,0,70,20,25,30
I want a story.,14,POOR,25,10,0,20,0,0,0,0,80,10,20,25
Fix my bug.,15,POOR,20,10,0,20,0,0,0,0,80,10,20,20
Give me marketing advice.,18,POOR,25,15,0,20,0,0,0,0,75,15,20,25
Write an essay for school.,20,POOR,30,15,0,25,0,0,0,10,70,15,25,30
Build a website.,18,POOR,25,15,0,20,0,0,0,0,75,15,20,25
Can you write a poem about life?,22,POOR,35,20,0,25,0,0,0,0,65,20,30,35
Write a letter to my boss.,24,POOR,35,20,0,30,0,0,0,15,65,20,30,35
I need a database schema.,25,POOR,35,25,0,30,0,0,0,0,65,25,30,35
Give me research topics in AI.,26,POOR,40,25,0,30,0,0,0,0,60,25,35,40
Create a workout routine.,26,POOR,40,25,0,30,0,0,0,0,60,25,35,40
How do I make money online?,22,POOR,35,20,0,25,0,0,0,0,65,20,30,35
Suggest a business idea.,22,POOR,35,20,0,25,0,0,0,0,65,20,30,35
Write a speech for a wedding.,28,POOR,40,25,0,35,0,0,0,20,55,25,35,40
What are the best books?,20,POOR,30,15,0,25,0,0,0,0,70,15,25,30
How to cook dinner?,18,POOR,25,15,0,20,0,0,0,0,75,15,20,25
Help me debug my program that keeps crashing.,26,POOR,35,25,0,30,0,0,0,0,60,25,35,35
Write an email saying I will be late.,30,POOR,45,30,0,40,0,0,0,20,50,30,40,45
Explain physics principles simply.,28,POOR,40,25,0,35,0,0,0,15,55,25,35,40
Give me some interview advice.,25,POOR,35,20,0,30,0,0,0,10,60,20,30,35
Design a logo concept for a startup company.,32,POOR,45,30,0,40,0,0,0,15,50,30,40,45
How does computer vision work?,30,POOR,45,30,0,35,0,0,0,0,50,30,35,40
Write some social media posts for my brand.,28,POOR,40,25,0,35,0,0,0,15,55,25,35,40
Give me 5 random ideas for a video game.,34,POOR,50,35,0,40,5,10,0,0,45,35,45,50
Summarize recent news about tech.,28,POOR,40,25,0,35,0,0,0,0,55,25,35,40
Tell me about renewable energy options.,32,POOR,45,30,0,35,0,0,0,0,50,30,35,45
"I was thinking the other day about how technology is changing everything and I really want you to write something that captures that feeling for people who are interested in the future, but make sure it talks about lots of different industries and maybe some history too, without getting bogged down in specifics or details because I just want a high-level overview that is fun to read and not too formal.",28,POOR,30,20,10,25,5,0,0,10,70,20,25,30
"Can you help me with my business? We sell various items online to different kinds of customers and our sales have been okay but could be much better, so please tell me what strategy we should follow to improve everything across marketing, operations, hiring, and product development immediately.",26,POOR,30,15,15,25,0,0,0,10,75,15,25,25
"Write a comprehensive guide on machine learning, deep learning, artificial intelligence, data science, statistics, mathematics, algorithms, neural networks, computer vision, natural language processing, reinforcement learning, robotics, and cloud computing covering theory and practice.",30,POOR,35,20,5,30,0,0,0,0,70,20,25,35
"Please review all the code that anyone might write in Python and tell me the best practices that apply to every single situation without exception, making sure it covers web dev, data science, scripting, game development, and embedded systems.",27,POOR,30,20,0,25,5,0,0,0,70,20,25,30
"I need some text for my website, maybe a few paragraphs or pages, just write whatever sounds professional and compelling so that whoever visits will want to buy whatever it is we offer once we decide on our product lineup.",22,POOR,25,10,5,20,0,0,0,10,80,10,20,20
"So basically what I want is a story about a hero who goes on a journey and encounters difficulties and overcomes them with friends, but make it unique and exciting and touching and humorous and dramatic all at the same time.",31,POOR,35,25,10,30,0,0,0,10,65,25,30,35
Write an essay explaining why things happen the way they do in global economics and how ordinary people can prepare for economic changes over the next fifty years across all continents.,29,POOR,30,20,5,30,0,0,0,10,70,20,25,30
"Could you give me a list of tips that will make me successful in my career, relationships, health, productivity, finances, and hobbies starting tomorrow morning?",25,POOR,30,15,0,25,0,0,0,0,75,15,25,25
"I have this dataset with numbers and categories and dates, what should I do with it? Can you tell me what insights are hidden inside and write code to extract them all without seeing the data?",24,POOR,25,15,5,25,0,0,0,0,78,15,25,25
Generate a bunch of ideas for products that people might want to buy in the future when technology is much more advanced than it is today.,25,POOR,30,15,0,25,0,0,0,0,75,15,25,25
Can you analyze stocks?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about stocks as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you give advice on wellness?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about wellness as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you write a contract for agreements?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about agreements as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you explain concepts of learning?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about learning as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you create a campaign for sales?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about sales as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you design a system for software?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about software as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you draft an outline for a book?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about a book as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you sketch an interface for a mobile app?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about a mobile app as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you summarize theories of quantum mechanics?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about quantum mechanics as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you make rules for a board game?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about a board game as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you compose lyrics about feelings?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about feelings as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you plan a trip to somewhere nice?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about somewhere nice as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you invent a recipe with ingredients?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about ingredients as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you give tips for managing people?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about managing people as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you explain how to stop hackers?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about hackers as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you optimize conversions for a store?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about a store as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you write a pitch for our service?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about our service as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you describe a house in the modern style?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about the modern style as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you discuss behavior of humans?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about humans as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you build an algorithm for a robot?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about a robot as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you predict prices of tokens?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about tokens as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you design exercises for strength?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about strength as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you explain how to grow plants?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about plants as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you suggest settings for taking photos?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about taking photos as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Can you tell me facts about space?,16,POOR,25,15,0,20,0,0,0,0,80,15,20,25
Tell me everything about space as quickly as possible.,22,POOR,30,20,0,25,5,0,0,0,70,20,25,30
Write a blog post about machine learning for beginners.,45,FAIR,55,45,10,50,0,10,0,25,40,45,48,55
